label: 0.13333333332, vector: [0, 0, 0, 0, 0, 0, 10, 584, 1202, 51, 4.806156405990016, 15, 42.92857142857143, 0, 0.4858569051580699, 0.008319467554076539, 0, 6, 0, 0.35218876600265503, 0.9215425882784358, 0.9433657322078943, 79, 32, 162, 3, 4, 6, 177, 0, 54, 35, 1, 65, 1, 79, 17, 11, 138, 6, 2, 0, 23, 2, 19, 9, 10, 10, 2, 0, 56, 11, 2, 0, 40, 16, 0, 3, 0, 61, 1]
label: 1.0, vector: [0, 0, 0, 0, 0, 0, 2, 134, 375, 54, 5.208, 16, 18.75, 0, 0.35733333333333334, 0.005333333333333333, 0, 2, 1, 0.42702317237854004, 1.0138639643169767, 0.9950899102026597, 109, 59, 47, 4, 17, 0, 46, 0, 6, 10, 2, 20, 5, 108, 0, 1, 32, 14, 7, 0, 4, 0, 2, 3, 1, 2, 4, 0, 5, 38, 1, 1, 8, 2, 0, 1, 0, 12, 0]
label: 0.46666666664, vector: [0, 0, 1, 1, 0, 0, 12, 431, 1021, 58, 4.43486777668952, 14, 48.61904761904762, 0, 0.42213516160626835, 0.011753183153770812, 0, 5, 1, 0.41776877641677856, 1.1434324940081988, 0.9948518247581974, 136, 56, 113, 3, 15, 6, 138, 0, 63, 25, 1, 40, 8, 136, 9, 9, 114, 11, 5, 0, 12, 6, 3, 24, 4, 12, 20, 0, 40, 17, 9, 1, 14, 5, 0, 4, 0, 48, 0]
label: 0.93333333332, vector: [0, 1, 0, 0, 4, 0, 2, 40, 101, 40, 4.663366336633663, 14, 8.416666666666666, 0, 0.39603960396039606, 0.019801980198019802, 0, 1, 0, 0.5303207039833069, 0.9675672358644078, 0.8778950093934933, 12, 6, 9, 2, 2, 0, 16, 0, 5, 10, 0, 2, 0, 11, 2, 1, 12, 0, 1, 0, 1, 1, 0, 0, 2, 1, 1, 0, 8, 5, 0, 0, 0, 0, 0, 0, 0, 6, 0]
label: 0.0, vector: [0, 0, 0, 0, 0, 0, 1, 173, 483, 52, 4.987577639751553, 16, 21.954545454545453, 0, 0.3581780538302277, 0.002070393374741201, 0, 1, 0, 0.3221338391304016, 0.9360587662790213, 0.8921977833590724, 84, 37, 51, 6, 11, 0, 71, 0, 9, 18, 4, 20, 5, 84, 0, 1, 52, 4, 3, 0, 3, 1, 7, 7, 3, 11, 10, 0, 12, 17, 6, 0, 14, 4, 0, 1, 3, 19, 1]
label: 0.06666666666, vector: [0, 0, 0, 0, 0, 0, 0, 68, 190, 45, 5.2, 13, 13.571428571428571, 0, 0.35789473684210527, 0.0, 0, 2, 0, 0.7214265763759613, 0.9379073941444451, 0.8635304658673704, 39, 16, 21, 1, 6, 0, 29, 0, 2, 2, 1, 7, 2, 39, 0, 0, 20, 2, 2, 0, 1, 0, 4, 5, 0, 3, 4, 0, 0, 10, 0, 0, 8, 3, 0, 2, 0, 8, 0]
label: 0.33333333332, vector: [0, 0, 0, 1, 1, 0, 1, 494, 1264, 60, 4.947784810126582, 15, 36.114285714285714, 0, 0.39082278481012656, 0.0007911392405063291, 0, 2, 1, 0.5777198970317841, 1.0025134823861621, 0.9786866976862907, 109, 41, 195, 9, 18, 3, 189, 0, 52, 28, 4, 60, 4, 109, 18, 2, 114, 5, 9, 0, 25, 4, 26, 13, 4, 24, 10, 0, 44, 8, 2, 1, 34, 20, 0, 3, 3, 49, 1]
label: 0.06666666666, vector: [0, 0, 0, 1, 2, 0, 4, 87, 223, 42, 4.484304932735426, 16, 13.9375, 0, 0.3901345291479821, 0.017937219730941704, 0, 1, 0, 0.7330026626586914, 1.029087490204412, 0.9302510099951178, 30, 14, 23, 0, 5, 1, 38, 0, 11, 13, 0, 15, 4, 29, 3, 1, 24, 0, 3, 0, 1, 0, 1, 0, 1, 4, 0, 0, 10, 7, 3, 0, 2, 0, 0, 2, 1, 13, 0]
label: 0.3333333333, vector: [0, 0, 0, 0, 0, 0, 11, 337, 815, 58, 4.660122699386503, 17, 47.94117647058823, 0, 0.4134969325153374, 0.013496932515337423, 0, 4, 0, 0.9549025148153305, 1.0100055864729462, 0.9321413590189289, 79, 31, 103, 5, 15, 2, 110, 0, 24, 20, 4, 36, 6, 79, 2, 0, 77, 8, 8, 0, 11, 2, 12, 1, 2, 8, 9, 0, 45, 7, 6, 0, 18, 6, 0, 0, 0, 33, 0]
label: 0.13333333332, vector: [0, 0, 0, 0, 0, 0, 0, 94, 230, 45, 5.173913043478261, 12, 28.75, 0, 0.40869565217391307, 0.0, 0, 1, 1, 0.24445992708206177, 1.1489147289542208, 1.0954808206297457, 38, 12, 30, 1, 7, 0, 26, 0, 5, 6, 0, 7, 2, 38, 1, 2, 26, 4, 1, 0, 3, 3, 2, 5, 1, 4, 3, 0, 2, 3, 2, 1, 13, 7, 0, 3, 1, 5, 0]
